vowel,speaker_1,speaker_2,overlap_coefficient,bhattacharyya_coefficient,hellinger_distance
i,0f786745-Audio_SP20,a452055c-Audio_SP11,0.719937264919281,0.9143071174621582,0.2927334667198846
i,181d5ce9-Audio_SP21,63239054-Audio_SP15,0.7188138961791992,0.9184070825576782,0.28564473991712463
i,713a2f9b-Audio_SP16,c3533b36-Audio_SP16,0.7187646627426147,0.9165375232696533,0.28889873092546925
i,c3533b36-Audio_SP16,cafd9c21-Audio_SP27,0.7174845337867737,0.9149830341339111,0.29157668951081955
i,2988c6fc-Audio_SP13,e90f8e4d-Audio_SP22,0.71711665391922,0.9204866886138916,0.28198104792008344
i,0f786745-Audio_SP20,adad0062-Audio_SP17,0.7165873646736145,0.9195477366447449,0.2836410819244193
i,0e6115f2-Audio_SP19,5a932187-audio_SP16,0.7165642380714417,0.9282394647598267,0.26788156942980107
i,181d5ce9-Audio_SP21,a452055c-Audio_SP11,0.7157866358757019,0.9249993562698364,0.2738624540351663
i,713a2f9b-Audio_SP16,85c7895f-Audio_SP16,0.7151814699172974,0.9303393363952637,0.263933066523951
i,7a414497-Audio_SP15,7dec1dd7-Audio_SP13,0.7143574953079224,0.9162147641181946,0.2894567944992921
i,0f786745-Audio_SP20,7dec1dd7-Audio_SP13,0.7125478982925415,0.903836190700531,0.3101029011464888
i,061ea7d0-Audio_SP16,7e277fda-Audio_SP28,0.7115660309791565,0.9122329950332642,0.296254966146959
i,5a932187-audio_SP16,7e277fda-Audio_SP28,0.7113409042358398,0.9081659317016602,0.3030413640055427
i,0f786745-Audio_SP20,c3533b36-Audio_SP16,0.711168110370636,0.9046692848205566,0.3087567249137148
i,1d46eb6e-Audio_SP18,7aee4437-Audio_SP12,0.7110306620597839,0.9173216223716736,0.28753848025668916
i,63239054-Audio_SP15,dbeec025-Audio_SP13,0.7103705406188965,0.9215336441993713,0.2801184674394544
i,7dec1dd7-Audio_SP13,adad0062-Audio_SP17,0.7098071575164795,0.9151173233985901,0.2913463172950877
i,181d5ce9-Audio_SP21,85c7895f-Audio_SP16,0.7067917585372925,0.929977297782898,0.2646180307860786
i,49ae7020-Audio_SP17,f061152e-Audio_SP12,0.705089271068573,0.9264123439788818,0.2712704481161156
i,5a932187-audio_SP16,adad0062-Audio_SP17,0.7049452662467957,0.9035710692405701,0.3105300802811701
i,1d46eb6e-Audio_SP18,5819ce7a-Audio_SP11,0.7041497826576233,0.9060578346252441,0.3064998619489997
i,0e6115f2-Audio_SP19,2988c6fc-Audio_SP13,0.7024158835411072,0.919768750667572,0.28325121241122336
i,0af9ac47-Audio_SP14,7e277fda-Audio_SP28,0.7019895315170288,0.8848505020141602,0.33933685032109295
i,85c7895f-Audio_SP16,919b9bc1-Audio_SP14,0.6983645558357239,0.9188569784164429,0.2848561419094858
i,7dec1dd7-Audio_SP13,85c7895f-Audio_SP16,0.6980677247047424,0.9270627498626709,0.2700689729260455
i,5819ce7a-Audio_SP11,7e277fda-Audio_SP28,0.6948323249816895,0.8961308598518372,0.322287356482011
i,1c403477-Audio_SP13,e90f8e4d-Audio_SP22,0.6941491365432739,0.9146642088890076,0.2921229041191266
i,5278b5b9-Audio_SP15,713a2f9b-Audio_SP16,0.6925095915794373,0.9159728288650513,0.2898744057949041
i,5a932187-audio_SP16,e90f8e4d-Audio_SP22,0.6923910975456238,0.9130885601043701,0.2948074624150988
i,1d46eb6e-Audio_SP18,7e277fda-Audio_SP28,0.6922625303268433,0.9066228270530701,0.3055767873169196
i,63239054-Audio_SP15,7dec1dd7-Audio_SP13,0.692227840423584,0.8995504379272461,0.31693778896299807
i,0f786745-Audio_SP20,63239054-Audio_SP15,0.6870370507240295,0.9126412272453308,0.29556517513852876
i,7a414497-Audio_SP15,e90f8e4d-Audio_SP22,0.6864976286888123,0.9026446342468262,0.3120182138163954
i,5a932187-audio_SP16,919b9bc1-Audio_SP14,0.685651957988739,0.9175539016723633,0.28713428622795417
i,7aee4437-Audio_SP12,7e277fda-Audio_SP28,0.6852942109107971,0.9018713235855103,0.3132549702949496
i,5586979c-Audio_SP18,c3533b36-Audio_SP16,0.6842042207717896,0.9152027368545532,0.2911996963347434
i,adad0062-Audio_SP17,dbeec025-Audio_SP13,0.6833445429801941,0.9098974466323853,0.30017087361636996
i,1d46eb6e-Audio_SP18,2e25304d-Audio_SP12,0.6831048130989075,0.8969016075134277,0.3210893839518402
i,1d46eb6e-Audio_SP18,2988c6fc-Audio_SP13,0.6830041408538818,0.8988645672798157,0.3180179754670863
i,a452055c-Audio_SP11,cafd9c21-Audio_SP27,0.6828583478927612,0.9101779460906982,0.29970327644071854
i,5278b5b9-Audio_SP15,7dec1dd7-Audio_SP13,0.6816846132278442,0.8992301821708679,0.3174426213178251
i,5a932187-audio_SP16,63239054-Audio_SP15,0.6815311312675476,0.8892949819564819,0.332723636135935
i,1c403477-Audio_SP13,63239054-Audio_SP15,0.6807624697685242,0.9057735204696655,0.30696331951934336
