vowel,speaker,n_retained_tokens,n_fit_tokens,bandwidth,mean_self_log_density,median_self_log_density,peak_log_density_grid,peak_x_standardized,peak_y_standardized,peak_z_standardized,peak_x_original,peak_y_original,peak_z_original,hdr_50_volume,hdr_50_actual_mass,hdr_50_mass_per_volume,hdr_80_volume,hdr_80_actual_mass,hdr_80_mass_per_volume,hdr_95_volume,hdr_95_actual_mass,hdr_95_mass_per_volume,dominant_grid_volume,own_mass_in_dominant_region,equal_prior_posterior_at_own_peak
o,0e6115f2-Audio_SP19,918,918,0.2,-1.4959359153594876,-1.1625624405931747,-0.26282306916707054,-0.19995573572900405,-0.4846872433408005,0.18449904630671998,489.9129407506625,1362.4928271407257,2709.991983781303,1.4521160007066503,0.5008012056350708,0.3443251088457689,4.175586674231156,0.8002780079841614,0.19158984411389393,10.279294179276121,0.9500120878219604,0.092418796799811,1.4641667558992366,0.16840875,0.12817271
o,cafd9c21-Audio_SP27,1154,1000,0.2,-1.5639247589128367,-1.3077585375924672,-0.15291690983197267,-0.015070340371866386,-1.1637070834930436,-0.2954544922753408,516.1499518484483,1028.9995016414578,2484.457169025904,1.3737860919548393,0.5009292364120483,0.363957680841361,4.223789695001502,0.800108015537262,0.18940336943071112,9.755086328398617,0.9500264525413513,0.09738509409541543,0.7591975771329375,0.062051076,0.07376778
o,2988c6fc-Audio_SP13,523,523,0.2,-1.5169004491792608,-1.178850001309061,-0.11990442304517315,-0.19995573572900405,-1.1637070834930436,0.4244758155977504,489.9129407506625,1028.9995016414578,2822.759391159003,1.2713546728178557,0.5009362101554871,0.3932812854589114,4.290068848560726,0.80000901222229,0.18647719377939395,12.255618030860276,0.9500502347946167,0.07751547066886803,1.5726235526325134,0.24815059,0.09976032
o,7a414497-Audio_SP15,439,439,0.2,-1.4630512247926555,-1.167630555763182,-0.16082217036760127,0.16981505498527127,-0.8920991474321462,-0.05547772298431042,542.3869629462341,1162.396831841165,2597.224576403604,1.2653292952215625,0.5009740591049194,0.39515405348490623,4.392500267697709,0.8001987934112549,0.18212861724407203,11.080669399583112,0.9500132203102112,0.08573489251793234,1.4882682662844093,0.1256359,0.087526165
o,a452055c-Audio_SP11,964,964,0.2,-1.6065852635111046,-1.3666104474645397,-0.24215277563621446,-0.5697265264432798,-1.2995110515234922,0.18449904630671998,437.4389185550907,962.3008365416042,2709.991983781303,1.4460906231103572,0.5005530714988708,0.3457597967992929,4.500957064430986,0.8000465035438538,0.17773997586469678,11.237329217086733,0.9500124454498291,0.08453966077237404,1.6027504406139792,0.23496021,0.108579
o,061ea7d0-Audio_SP16,714,714,0.2,-1.6052976420132608,-1.3772273635991983,-0.30672934125842394,0.16981505498527127,-1.1637070834930436,-0.2954544922753408,542.3869629462341,1028.9995016414578,2484.457169025904,1.476217511091823,0.5006847977638245,0.33870347441563387,4.52505857481616,0.800209641456604,0.17679329157247467,11.665131026423548,0.9500300288200378,0.08143929098165163,1.2713546728178557,0.020981392,0.07744952
o,c3533b36-Audio_SP16,524,524,0.2,-1.6027467290503887,-1.3240644830937471,-0.3099813096275994,-0.19995573572900405,-1.4353150195539408,-0.7754080308574021,489.9129407506625,895.6021714417507,2258.9223542705045,1.5123697766695818,0.5001434683799744,0.33060697701924424,4.609413861164263,0.8001842498779297,0.17355785878552746,11.152973930738629,0.9500548243522644,0.08517907473823749,2.13900904668407,0.14242305,0.1035396
o,d4c363bf-Audio_SP13,678,678,0.2,-1.5837571229239393,-1.230192415671275,-0.360881324781264,-0.19995573572900405,-1.1637070834930436,-0.2954544922753408,489.9129407506625,1028.9995016414578,2484.457169025904,1.5123697766695818,0.500472366809845,0.33060697701924424,4.639540749145729,0.8001559376716614,0.17243085970250455,11.906146130275275,0.9500318765640259,0.07979072233829836,1.2291770296438036,0.13397215,0.05913701
o,5586979c-Audio_SP18,1060,1000,0.2,-1.6884035360623328,-1.282404358456669,-0.438490945489995,-0.19995573572900405,-1.1637070834930436,-0.5354312615663717,489.9129407506625,1028.9995016414578,2371.6897616482042,1.4460906231103572,0.5011468529701233,0.3457597967992929,4.705819902704954,0.8002025485038757,0.17000225604472277,13.798114695511325,0.9500354528427124,0.06884998573819981,0.9881619257920774,0.08434304,0.061940532
o,85c7895f-Audio_SP16,1451,1000,0.2,-1.6750747601595468,-1.362649852599704,-0.3105630920824953,-0.5697265264432798,-1.4353150195539408,-0.05547772298431042,437.4389185550907,895.6021714417507,2597.224576403604,1.5364712870547546,0.5006032586097717,0.32542098522286395,4.747997545879006,0.8002855777740479,0.1684920837194524,11.616928005653202,0.9500307440757751,0.08177721335087011,1.1448217432956993,0.06769109,0.09494126
o,181d5ce9-Audio_SP21,474,474,0.2,-1.6034865752626137,-1.3592184580001203,-0.1767025406928275,-0.19995573572900405,-1.0279031154625948,-0.05547772298431042,489.9129407506625,1095.6981667413115,2597.224576403604,1.4882682662844093,0.5007612109184265,0.3359609361612563,4.796200566649351,0.8001057505607605,0.1667986959433775,12.26164340845657,0.9500505328178406,0.07747737952849021,1.319557693588201,0.03681268,0.06913347
o,7dec1dd7-Audio_SP13,527,527,0.2,-1.6404514928569354,-1.4388071067941874,-0.4331083098635213,-0.19995573572900405,-1.1637070834930436,0.4244758155977504,489.9129407506625,1028.9995016414578,2822.759391159003,1.6148011958065656,0.5003010630607605,0.30963563892473994,4.9287588737678005,0.8002749681472778,0.16231266744612285,11.23130383949044,0.9500325918197632,0.08458501466763818,1.3737860919548393,0.038867265,0.07293485
o,7e277fda-Audio_SP28,804,804,0.2,-1.6126571157684007,-1.306979410796473,-0.14174682336999017,0.16981505498527127,-1.1637070834930436,-1.2553615694394633,542.3869629462341,1028.9995016414578,2033.387539515105,1.4581413783029435,0.500546932220459,0.34290227781748056,5.007088782519611,0.8000104427337646,0.15977348010942058,13.105196271937611,0.9500129222869873,0.07249032981171383,2.8741051134318347,0.18702683,0.20133355
o,501e6487-Audio_SP19,1210,1000,0.2,-1.82829411135812,-1.577047781521065,-0.6615835345356086,-0.7546119218004175,-0.8920991474321462,-1.2553615694394633,411.2019074573049,1162.396831841165,2033.387539515105,1.867867054850878,0.5007862448692322,0.26768500397364614,5.2360531311787515,0.8000127673149109,0.15278683771107998,11.948323773449326,0.9500302076339722,0.07950906068607039,6.814702061407558,0.4487167,0.28177628
o,5278b5b9-Audio_SP15,489,489,0.2,-1.6445245718320667,-1.5485407757800242,-0.06332713510584348,-0.7546119218004175,-0.8920991474321462,-0.2954544922753408,411.2019074573049,1162.396831841165,2484.457169025904,1.5846743078250998,0.5004636645317078,0.315522248029773,5.320408417526855,0.800227165222168,0.1503643963430674,12.791876636930368,0.95003342628479,0.07426588193145434,4.452754043660641,0.39894292,0.20456018
o,0f786745-Audio_SP20,843,843,0.2,-1.7949962706024147,-1.5481615185684978,-0.2895649665739858,-0.015070340371866386,-1.2995110515234922,-0.05547772298431042,516.1499518484483,962.3008365416042,2597.224576403604,1.6931311045583766,0.5000312328338623,0.2953108584762644,5.567448898974875,0.8001463413238525,0.14369238308542046,14.039129799363051,0.9500339031219482,0.06766801173411055,2.337846507361744,0.093759395,0.06704126
