audio,vowel,n_points,f1_median,f2_median,f1_mean,f2_mean
85c7895f-Audio_SP16,u,218,364.2411622643758,998.8292556763474,376.6934004465032,1098.638175766578
919b9bc1-Audio_SP14,u,112,427.4945633732293,1065.2508178791531,427.0982918694326,1074.967731808629
9a0c18cb-Audio_SP14,u,107,399.08562807486175,817.342751467971,417.10028830927837,894.6822263877365
a1a056ce-Audio_SP11,u,40,432.05138042671376,901.4936298231002,439.81514055638957,935.9809906322938
a452055c-Audio_SP11,u,223,393.28584273756553,876.7333404203047,412.92550483330507,954.6391460632619
adad0062-Audio_SP17,u,209,443.1538767376656,1009.5310479326408,460.2144536548416,1107.7699302449373
c3533b36-Audio_SP16,u,109,438.7150328647799,870.3360372571398,460.92772835663754,940.2864376191375
cafd9c21-Audio_SP27,u,206,421.91852962557994,891.7463465220592,431.0138250214159,924.5264023503191
d4c363bf-Audio_SP13,u,153,438.38045946358034,994.4002414132538,443.4806869000285,1173.6655005475989
dbeec025-Audio_SP13,u,151,474.67895061699113,978.58161301206,486.47125247226853,1006.8004727600877
e90f8e4d-Audio_SP22,u,135,398.3404778959821,794.6830916117715,420.36359869434074,836.2549826772387
f061152e-Audio_SP12,u,110,489.5655292741939,1010.567984132161,501.8801162549079,1053.6639338841
fcd45f4d-Audio_SP21,u,123,424.5716626359148,804.7419504000968,427.50268953341595,842.7828151115702
