audio,vowel,n_points,f1_median,f2_median,f1_mean,f2_mean
1c403477-Audio_SP13,u,74,411.29424952609133,985.8918470757226,419.631565273742,1008.8044507919036
1d46eb6e-Audio_SP18,u,149,424.58915680842665,925.4061973216352,439.89291276828476,965.545582720947
2988c6fc-Audio_SP13,u,38,438.0766089100664,928.9242249734734,451.9464106683442,1048.6693391248298
2e25304d-Audio_SP12,u,34,504.32355441573407,957.9145079682501,542.9391435586542,1008.2320098637358
30a90cb2-Audio_SP21,u,53,401.0233290352589,992.9126694394224,407.23445808009063,1061.2156020172572
3361ee02-Audio_SP10,u,69,394.9397487686278,921.6949299652688,414.50174434048625,1046.8052400432016
34ad326e-Audio_SP7,u,31,351.882192580458,876.5117205427422,387.74705299088106,958.1936594673354
375a28cd-Audio_SP16,u,113,400.2629529605346,804.9054250276332,402.03714959556925,842.1055836973438
42d56bbf-Audio_SP23,u,374,335.85482246746494,798.8169269825833,340.37534950829286,946.4385662346689
49ae7020-Audio_SP17,u,54,509.71382924776594,936.7327498647273,511.5644289534015,1017.7816215368633
501e6487-Audio_SP19,u,167,357.555208580786,1101.1609202094298,367.10303523446606,1146.217837809384
514fc6b6-Audio_SP19,u,106,499.69998459172336,880.4956213387388,499.19810556408805,909.3005589896716
51a17262-Audio_SP18,u,58,444.9605727389171,981.9333036781109,458.53823436152885,1131.1007880330328
5278b5b9-Audio_SP15,u,63,362.4048721285161,1116.2275009729178,360.44942777982465,1115.6561992519698
5586979c-Audio_SP18,u,74,434.139382816593,983.9730350900772,437.5493853263549,1070.8735500705989
5819ce7a-Audio_SP11,u,68,467.3463852036996,974.8576025177986,476.46957805524977,1087.6045507820438
5a932187-audio_SP16,u,131,490.2829469606544,1199.5046661844838,493.0020528238871,1226.1879637880447
63239054-Audio_SP15,u,47,435.7018444883201,939.072806837736,448.7061296205177,1006.2207806785374
713a2f9b-Audio_SP16,u,71,365.4098193150416,1021.6152495506363,366.7389781145935,1099.1447338821372
7a414497-Audio_SP15,u,69,402.3912889635689,899.5989340583385,412.66340739010474,1022.3465233825892
7aee4437-Audio_SP12,u,51,463.9765727321145,1055.2301086569123,475.515900203624,1076.3935341961117
7c3c98d2-Audio_SP13,u,79,381.311154216283,1189.5000704237063,455.04692723776265,1248.0421499669362
7dec1dd7-Audio_SP13,u,66,408.4626055963616,907.0804401166549,427.4467796304323,1011.7459436746565
7e277fda-Audio_SP28,u,98,449.790599314659,899.2451454740869,458.5951061676334,945.110732622073
85c7895f-Audio_SP16,u,106,363.06091604167364,1060.9768179276161,374.76184070775537,1142.7328900466393
919b9bc1-Audio_SP14,u,66,441.9764031333848,1080.9169456497139,431.15555034700304,1079.0334869545522
9a0c18cb-Audio_SP14,u,59,426.0909485332919,820.5426934638493,436.1617861397334,909.4676015380481
a1a056ce-Audio_SP11,u,14,447.93073903639896,1038.3966219648275,458.6821065065901,1071.1636690786725
a452055c-Audio_SP11,u,134,388.93819599229744,861.9233477809637,400.5428656392908,924.4410237072403
adad0062-Audio_SP17,u,103,449.5850192071014,979.9912711691104,464.84554049984985,1062.2199326856812
c3533b36-Audio_SP16,u,67,423.7307349798102,869.3801247564005,456.4267152937786,949.0536360791581
cafd9c21-Audio_SP27,u,101,421.6846346299241,865.2592696835533,433.0964950832444,902.2258736982363
d4c363bf-Audio_SP13,u,68,436.32252085084804,998.8924107327081,440.5436766284681,1163.5783141373931
dbeec025-Audio_SP13,u,87,464.1228532729217,999.8010771702782,476.19622353670565,1022.5609028645313
e90f8e4d-Audio_SP22,u,58,401.10769726932904,763.3429625666448,434.59577916459415,839.9149451794102
f061152e-Audio_SP12,u,51,490.0336967984292,976.654606468317,510.0641674860569,1058.3934018818095
fcd45f4d-Audio_SP21,u,67,417.9579337532165,816.0825944615716,417.5679838090532,841.0108412834211
