audio,vowel_norm,f1_median,f2_median,chosen_k,cluster
5a932187-audio_SP16,u,484.37835255644495,1193.1836767731015,8,4
63239054-Audio_SP15,u,432.5440503390523,952.351143381052,8,7
713a2f9b-Audio_SP16,u,373.4504956335479,1017.591613213347,8,6
7a414497-Audio_SP15,u,409.485653608252,992.7449020340098,8,6
7aee4437-Audio_SP12,u,461.6247067201473,1097.6118000296494,8,3
7c3c98d2-Audio_SP13,u,384.2300811559452,1197.0577195017145,8,5
7dec1dd7-Audio_SP13,u,416.94373833122927,927.5592837035234,8,7
7e277fda-Audio_SP28,u,449.6995008256927,894.0251391319285,8,7
85c7895f-Audio_SP16,u,364.2411622643758,998.8292556763474,8,6
919b9bc1-Audio_SP14,u,427.4945633732293,1065.2508178791531,8,2
9a0c18cb-Audio_SP14,u,399.08562807486175,817.342751467971,8,8
a1a056ce-Audio_SP11,u,432.05138042671376,901.4936298231002,8,7
a452055c-Audio_SP11,u,393.28584273756553,876.7333404203047,8,8
adad0062-Audio_SP17,u,443.1538767376656,1009.5310479326408,8,2
c3533b36-Audio_SP16,u,438.7150328647799,870.3360372571398,8,7
cafd9c21-Audio_SP27,u,421.91852962558,891.7463465220592,8,7
d4c363bf-Audio_SP13,u,438.38045946358034,994.4002414132538,8,2
dbeec025-Audio_SP13,u,474.67895061699113,978.58161301206,8,3
e90f8e4d-Audio_SP22,u,398.3404778959821,794.6830916117715,8,8
f061152e-Audio_SP12,u,489.5655292741939,1010.567984132161,8,3
fcd45f4d-Audio_SP21,u,424.5716626359148,804.7419504000968,8,8
