vowel,audio,CountryRes,Sex,Income_group,n_tokens
o,7aee4437-Audio_SP12,VE,M,3,302
o,7c3c98d2-Audio_SP13,EC,F,2,826
o,7dec1dd7-Audio_SP13,AR,M,4,527
o,7e277fda-Audio_SP28,VE,M,3,804
o,85c7895f-Audio_SP16,CO,M,2,1451
o,919b9bc1-Audio_SP14,PE,M,2,561
o,9a0c18cb-Audio_SP14,VE,M,3,585
o,a1a056ce-Audio_SP11,PE,F,4,355
o,a452055c-Audio_SP11,EC,M,3,964
o,adad0062-Audio_SP17,EC,M,3,713
o,c3533b36-Audio_SP16,VE,M,3,524
o,cafd9c21-Audio_SP27,CO,M,2,1154
o,d4c363bf-Audio_SP13,AR,F,4,678
o,dbeec025-Audio_SP13,VE,M,4,594
o,e90f8e4d-Audio_SP22,CO,M,3,669
o,f061152e-Audio_SP12,VE,F,4,586
o,fcd45f4d-Audio_SP21,VE,M,2,701
u,061ea7d0-Audio_SP16,CO,M,2,136
u,0af9ac47-Audio_SP14,VE,M,3,106
u,0e6115f2-Audio_SP19,PE,M,2,139
u,0f786745-Audio_SP20,DO,M,1,223
u,12c532f8-Audio_SP15,AR,M,4,155
u,181d5ce9-Audio_SP21,VE,M,2,72
u,1c403477-Audio_SP13,SV,M,1,132
u,1d46eb6e-Audio_SP18,VE,M,4,267
u,2988c6fc-Audio_SP13,VE,M,2,91
u,2e25304d-Audio_SP12,AR,F,3,67
u,30a90cb2-Audio_SP21,EC,M,3,107
u,3361ee02-Audio_SP10,PY,M,1,120
u,34ad326e-Audio_SP7,CO,M,2,59
u,375a28cd-Audio_SP16,AR,M,2,203
u,42d56bbf-Audio_SP23,VE,M,3,702
u,49ae7020-Audio_SP17,PE,M,4,87
u,501e6487-Audio_SP19,VE,M,1,303
u,514fc6b6-Audio_SP19,VE,F,4,201
u,51a17262-Audio_SP18,VE,F,4,109
u,5278b5b9-Audio_SP15,CO,M,3,98
u,5586979c-Audio_SP18,CO,M,4,113
u,5819ce7a-Audio_SP11,VE,F,3,144
u,5a932187-audio_SP16,VE,F,3,212
u,63239054-Audio_SP15,CO,M,1,96
u,713a2f9b-Audio_SP16,PE,M,2,173
u,7a414497-Audio_SP15,DO,F,3,110
u,7aee4437-Audio_SP12,VE,M,3,113
u,7c3c98d2-Audio_SP13,EC,F,2,157
u,7dec1dd7-Audio_SP13,AR,M,4,132
u,7e277fda-Audio_SP28,VE,M,3,177
u,85c7895f-Audio_SP16,CO,M,2,218
u,919b9bc1-Audio_SP14,PE,M,2,112
u,9a0c18cb-Audio_SP14,VE,M,3,107
u,a1a056ce-Audio_SP11,PE,F,4,40
u,a452055c-Audio_SP11,EC,M,3,223
u,adad0062-Audio_SP17,EC,M,3,209
u,c3533b36-Audio_SP16,VE,M,3,109
u,cafd9c21-Audio_SP27,CO,M,2,206
u,d4c363bf-Audio_SP13,AR,F,4,153
u,dbeec025-Audio_SP13,VE,M,4,151
u,e90f8e4d-Audio_SP22,CO,M,3,135
u,f061152e-Audio_SP12,VE,F,4,110
u,fcd45f4d-Audio_SP21,VE,M,2,122
